E,E_ana,L,L_ana,N,N_ana,a_final,a_final_ana,a_initial,a_initial_ana,conservation,conservation_ana,deltaz,deltaz_ana,dt,iterations,method,program_time,skewness,skewness_ana,stdev,stdev_ana,time_ana
150.0,150.0,250.0,250.0,512.0,512.0,0.9999998423830854,0.9999817220411968,1.0,1.0,99.99998423830854,99.99817220411968,5.0,5.0,5e-18,4990.0,cn,9.296720266342163,-0.009437545146203319,-2.9023653903531077,27.654875053329498,24.67748044851829,2.5133382812496793e-14
150.0,150.0,250.0,250.0,512.0,512.0,0.9999998332521619,0.999981708090419,1.0,1.0,99.99998332521619,99.9981708090419,5.0,5.0,1e-17,2907.0,cn,4.018863677978516,-0.005587326916799364,-2.902581934367035,27.680683409907935,24.683833823794807,2.514043749999679e-14
150.0,150.0,250.0,250.0,512.0,512.0,0.999999788876433,0.999981717422873,1.0,1.0,99.99997888764331,99.9981717422873,5.0,5.0,5e-17,3213.0,cn,3.851594924926758,0.01364430522346105,-2.902437103514078,27.766533733696296,24.679584193336574,2.513571874999679e-14
150.0,150.0,250.0,250.0,512.0,512.0,0.9999997815438554,0.9999817220411968,1.0,1.0,99.99997815438554,99.99817220411968,5.0,5.0,1e-16,5718.0,cn,6.66376256942749,0.016708418914435773,-2.9023653903531077,27.77852784160954,24.67748044851829,2.5133382812496793e-14
150.0,150.0,250.0,250.0,512.0,512.0,0.9999997786706752,0.9999817223423564,1.0,1.0,99.99997786706753,99.99817223423564,5.0,5.0,5e-16,27458.0,cn,26.539098739624023,0.017855171853605533,-2.9023607130144815,27.783806411196664,24.677343246917907,2.5133230468746793e-14
150.0,150.0,250.0,250.0,1024.0,1024.0,0.9999999999995778,0.9999999999999998,1.0,1.0,99.99999999995778,99.99999999999997,5.0,5.0,1e-19,8453.0,cn,24.645363092422485,0.004777380047795784,-4.209677426674672e-14,5.000161185524106,5.040476351477451,2.1739542968747405e-14
150.0,150.0,250.0,250.0,1024.0,1024.0,0.9999999999998309,0.9999999999999999,1.0,1.0,99.99999999998309,99.99999999999999,5.0,5.0,5e-19,1695.0,cn,4.987084865570068,0.004803615651333257,8.41914826463686e-15,5.0001326021675485,5.040517578807103,2.1750656249997402e-14
150.0,150.0,250.0,250.0,1024.0,1024.0,0.9999999999999661,0.9999999999999999,1.0,1.0,99.99999999999662,99.99999999999999,5.0,5.0,1e-18,853.0,cn,3.6671223640441895,0.004874745431995572,4.209579942780215e-14,5.000066217867507,5.040515259672444,2.1750031249997395e-14
150.0,150.0,250.0,250.0,1024.0,1024.0,0.9999999999999968,0.9999999999999999,1.0,1.0,99.99999999999967,99.99999999999999,5.0,5.0,5e-18,206.0,cn,1.3060646057128906,0.005400314262669052,5.051424889815524e-14,5.010649034462978,5.040538888925475,2.1756398437497404e-14
150.0,150.0,250.0,250.0,1024.0,1024.0,1.0000000000000084,0.9999999999999999,1.0,1.0,100.00000000000084,99.99999999999999,5.0,5.0,1e-17,159.0,cn,1.5555157661437988,0.0010239109572750043,-5.0501653855257136e-14,5.082511617233324,5.0409578885797,2.186899999999738e-14
