,psi_00,psi_01,psi_02,psi_03,psi_04,psi_05,psi_06,psi_07,psi_08,psi_09,psi_10,psi_11,psi_12,psi_13,psi_14,psi_15,psi_16,psi_squared_0,psi_squared_1,psi_squared_10,psi_squared_11,psi_squared_12,psi_squared_13,psi_squared_14,psi_squared_15,psi_squared_16,psi_squared_2,psi_squared_3,psi_squared_4,psi_squared_5,psi_squared_6,psi_squared_7,psi_squared_8,psi_squared_9,v_ev,z_ang
900,(0.11835755067903854+2.354669665609263e-13j),(-0.12504772486918725-2.808526733237457e-13j),(0.013382908797273354+4.000704771304048e-14j),(0.11072743881256443+1.9018593482220967e-14j),(-0.12912678252425652-3.576237672884557e-14j),(0.023656024664599696-2.2280865457871622e-15j),(0.10423767104056962+1.795399326261581e-14j),(-0.1318821061068305-4.56792356814204e-16j),(0.03232177463176066-4.56078446344991e-16j),(0.09836993754175989+1.8653409804262824e-14j),(-0.13356651430005015-9.986707410973536e-15j),(0.03931810494810242-3.4419253207018984e-15j),(0.09300264217627094+2.8733514886822005e-14j),(-0.13396566548651462-4.2512058826218545e-14j),(0.04329106644744737+1.423198453034494e-14j),(0.08953494706510268+1.814488991978611e-14j),(-0.12524084223366022-3.0222860710005144e-14j),0.014008509802741176,0.01563693349495995,0.0178400137422655,0.0015459133767099962,0.00864949145176749,0.017946799529244734,0.001874116434157303,0.008016506745950738,0.01568526856339657,0.00017910224787613652,0.0122605657059902,0.016673725965066638,0.0005596075029321491,0.010865492063962007,0.017392889911173295,0.0010446971153463271,0.009676644611969742,0.0,-18.09965803615046
901,(0.11869837696024138+2.342285894366385e-13j),(-0.1245009341896388-2.8022635268987944e-13j),(0.011526010317693992+3.8973359496107806e-14j),(0.11221031197355014+1.971235375985721e-14j),(-0.12796315094130498-3.5387870172670646e-14j),(0.02000137287457938-2.833644061199864e-15j),(0.1070300145863537+1.897103057537785e-14j),(-0.13030157220481037-1.2962168141914442e-15j),(0.02692898700428833-6.16748738591854e-16j),(0.10257115886476031+1.8730259721400742e-14j),(-0.1317307279292281-8.799747285643791e-15j),(0.032252091856476164-5.713657234676299e-15j),(0.09868186745191508+3.141194689724808e-14j),(-0.1319642639433697-4.2336680624690006e-14j),(0.03468189154306828+1.1998827346141655e-14j),(0.096368656411587+1.9252156316342907e-14j),(-0.1226428600371507-2.967215762996442e-14j),0.014089304692995562,0.015500482614092771,0.01735298468076432,0.001040197429118576,0.009738110963797337,0.01741456695811534,0.001202833601005151,0.009286917938574508,0.015041271118092137,0.00013284891384358837,0.012591154113201448,0.0163745679988272,0.00040005491686795987,0.011455424022355085,0.01697849971904541,0.0007251703410771299,0.010520842630859898,0.0,-17.95310210063508
902,(0.1190368856250307+2.330073654310382e-13j),(-0.12394394589679479-2.7950894295924596e-13j),(0.009666643943091866+3.7919407361283524e-14j),(0.11365760379692239+2.0418956763359823e-14j),(-0.12673572941976996-3.493961689890225e-14j),(0.01633220506238292-3.4228162784138975e-15j),(0.10971874432939925+1.9984353996240588e-14j),(-0.12855623314208076-2.1705372908704284e-15j),(0.02149307810687633-8.019500765210585e-16j),(0.10657074934458051+1.876110113480017e-14j),(-0.12958200781981827-7.57931499631323e-15j),(0.025094733802199617-8.010770373024268e-15j),(0.10403560824629424+3.395761083208344e-14j),(-0.12945873753342704-4.1970015046146994e-14j),(0.025921261704770913+9.7219107869643e-15j),(0.10272596810640151+2.024425019146846e-14j),(-0.11936798933676439-2.896762153332298e-14j),0.01416978013930664,0.015362101724467595,0.016791496750615444,0.00062974566460326,0.010823407783176406,0.016759564723748753,0.0006719118083672231,0.010552624523397421,0.014248716878301896,9.344400512251466e-05,0.012918050900858185,0.016061945111561143,0.0002667409221997263,0.012038202857220081,0.01652670507968102,0.00046195240650828657,0.011357324615865408,0.0,-17.8065461651197
903,(0.11937306655903065+2.318197848479612e-13j),(-0.12337679869931682-2.7876363140767524e-13j),(0.0078051455459372+3.685907564563757e-14j),(0.11506883540158626+2.1095231779718676e-14j),(-0.12544510743571088-3.450258725958115e-14j),(0.012651139874560709-4.056564820112177e-15j),(0.11230122358332477+2.1022140655708566e-14j),(-0.12664826232175158-3.0079598606137193e-15j),(0.016022723818429476-1.0336405027360596e-15j),(0.11036081151745783+1.8734645846140325e-14j),(-0.12712542117401796-6.335462457632799e-15j),(0.017866215603757146-1.0269759440893995e-14j),(0.10904611349701722+3.639273755997017e-14j),(-0.12645860253157346-4.146247808947332e-14j),(0.017047448502450768+7.412551715577237e-15j),(0.10857542326639522+2.1130500698111674e-14j),(-0.11543439319261954-2.8098598145765477e-14j),0.014249929019706764,0.015221834457291744,0.01616087270867145,0.0003192016599999353,0.011891054868804362,0.015991778154238478,0.0002906155004437109,0.011788622537476876,0.01332509913174829,6.0920296993263315e-05,0.013240836880677351,0.015736474979557047,0.00016005134012569996,0.0126115648183119,0.0160397823491192,0.00025672767856166725,0.012179508718791853,0.0,-17.65999022960429
904,(0.11970690975852029+2.30618711085123e-13j),(-0.12279953246328504-2.780155628843393e-13j),(0.00594185189240377+3.582874933669498e-14j),(0.1164435387420946+2.171719910075238e-14j),(-0.12409190606828424-3.406528327296602e-14j),(0.008960804881963096-4.675671026566813e-15j),(0.11477491836577323+2.2009269864787497e-14j),(-0.12458004062840271-3.8558607422257365e-15j),(0.010526657919383255-1.2528622460731754e-15j),(0.11393385732443853+1.8661419677605286e-14j),(-0.12436676707082239-5.07020464702676e-15j),(0.010586925972160256-1.2486929849528267e-14j),(0.11369676304815154+3.8670216047161046e-14j),(-0.12297526840764741-4.0775199158042266e-14j),(0.008099224242671666+5.068553983600853e-15j),(0.11388806861342607+2.1889133865780836e-14j),(-0.11086386941858331-2.7084930286254785e-14j),0.01432974424393452,0.015079725173201396,0.015467092751648193,0.00011208300154000137,0.012926953927627518,0.015122916639932924,6.559743333308043e-05,0.012970492172496444,0.012290797542460692,3.530560391126227e-05,0.013559097714781684,0.01539880115165988,8.029602413261365e-05,0.01317328188586991,0.01552018652297447,0.0001108105269517142,0.012980923844825515,0.0,-17.51343429408891
905,(0.1200384051981041+2.2946913381963933e-13j),(-0.12221218775612032-2.7726311601114355e-13j),(0.004077100175183033+3.477009386774981e-14j),(0.11778125769263494+2.2321881857095378e-14j),(-0.1226767783927373-3.3639740062900385e-14j),(0.005263836087894142-5.292838316082847e-15j),(0.11713739897686659+2.2984805689806225e-14j),(-0.12235415165662827-4.664455736470242e-15j),(0.005013656913552256-1.4947131667616363e-15j),(0.11728282532155719+1.8544487448607014e-14j),(-0.12131256439563326-3.732652645165828e-15j),(0.0032774027600051187-1.4693121098920325e-14j),(0.1179721212639574+4.083861508866911e-14j),(-0.11902199149950429-3.9930906447556146e-14j),(-0.0008843094276595353+2.74268314091647e-15j),(0.11863760370072905+2.2510956276290137e-14j),(-0.10568173221361145-2.5961576857371582e-14j),0.014409218722504226,0.014935818836137205,0.014716738280244666,1.074136885128917e-05,0.01391742139551787,0.014166234460508072,7.820031638475348e-07,0.01407488101185124,0.01116862852366948,1.662274583847752e-05,0.013872424663658876,0.015049591956820778,2.7707970360216703e-05,0.013721170239065626,0.014970538427613192,2.5136755646810337e-05,0.013755261115406897,0.0,-17.36687835857353
906,(0.12036754296292253+2.283230239816667e-13j),(-0.12161480629654364-2.764925492815389e-13j),(0.0022112283493240822+3.3685171346183724e-14j),(0.11908154729633023+2.2910407065744147e-14j),(-0.12120040850876318-3.3175421988277364e-14j),(0.0015628746576961704-5.885771944386596e-15j),(0.11938634337124865+2.3933287891181053e-14j),(-0.11997338037253985-5.45571489005794e-15j),(-0.0005074727828131605-1.7642138812272542e-15j),(0.12040109243959285+1.8399418167124518e-14j),(-0.11797003507599046-2.377893367959664e-15j),(-0.004041727745755508-1.6814649318271933e-14j),(0.12185799022736889+4.2852162252347065e-14j),(-0.1146138279922927-3.8888688709852234e-14j),(-0.009863890412635011+3.859935807199162e-16j),(0.12280050790665407+2.3036670219282987e-14j),(-0.09991667007810962-2.470991207821156e-14j),0.014488345398931,0.01479016111054583,0.013916929175830421,1.6335563170809898e-05,0.01484936978225353,0.013136329567046856,9.729633407247289e-05,0.01507996474213221,0.009983340959497806,4.889530812854505e-06,0.014180414906488135,0.014689539022691074,2.442577195668922e-06,0.014253098983557685,0.01439361199801413,2.5752862529613314e-07,0.014496423060647383,0.0,-17.22032242305815
907,(0.12069431311975441+2.2716527874235745e-13j),(-0.12100743050382318-2.7569598878881776e-13j),(0.00034457467495341065+3.256583643100094e-14j),(0.12034397483080886+2.353283862724416e-14j),(-0.11966351188323969-3.2707016940631774e-14j),(-0.002139433603163105-6.456495113424646e-15j),(0.12151953855778673+2.4818338575020973e-14j),(-0.11744070784773271-6.222909159656002e-15j),(-0.006027910118248777-2.0526276162644916e-15j),(0.12328248947343814+1.822965285869656e-14j),(-0.11434708857553616-1.0209704500370846e-15j),(-0.011349806325997846-1.8912050577730654e-14j),(0.12534145542904998+4.472297066130443e-14j),(-0.10976757365484582-3.773054537108237e-14j),(-0.018800269747556293-1.9349659464421903e-15j),(0.12635616080663595+2.3437569083657015e-14j),(-0.09360058934468225-2.338079625901554e-14j),0.014567117219449323,0.014642798237137596,0.013075256665701512,0.0001288181036376607,0.01571048044907252,0.012048920226072003,0.00035345014258088037,0.015965879373792444,0.008761070325671845,1.1873170661924861e-07,0.014482672278078356,0.014319356076230246,4.577176142343466e-06,0.014766998251297415,0.013792319859776508,3.6335700393685984e-05,0.015198572210768388,0.0,-17.07376648754274
908,(0.12101870584583196+2.2594552673187856e-13j),(-0.12039010394203771-2.7490006053024527e-13j),(-0.0015225219576850883+3.1429593795206965e-14j),(0.12156811906123001+2.416619025652701e-14j),(-0.11806683436338941-3.218368313414949e-14j),(-0.0058404415131323465-7.0353606098299586e-15j),(0.12353488373908504+2.566159796021759e-14j),(-0.11475930938929703-6.962486171753758e-15j),(-0.011538832334143337-2.3293729208222614e-15j),(0.12592131112236737+1.797902477660898e-14j),(-0.11045230184605667+3.3310016899405567e-16j),(-0.01862620189253833-2.0918368289611785e-14j),(0.12841093061952014+4.6430198439423885e-14j),(-0.10450170320934943-3.641726029168779e-14j),(-0.027654381279734935-4.252383618504347e-15j),(0.12928694116718573+2.3702673589432837e-14j),(-0.08676843575299174-2.187814669026993e-14j),0.014645527164600004,0.014493777127174643,0.012199710983092414,0.00034693539694159844,0.016489367102571213,0.010920605973654952,0.000764764803964954,0.016715113156367343,0.007528761443021056,2.318073111633234e-06,0.014778807572085394,0.01393977737659203,3.411075706831965e-05,0.015260867500429258,0.013169699091508398,0.00013314465163547176,0.01585617659477604,0.0,-16.92721055202736
909,(0.12134071130329668+2.2465536455403953e-13j),(-0.1197628708744716-2.74087985298011e-13j),(-0.003389722475790127+3.0295923648881295e-14j),(0.12275357128753858+2.479432236429338e-14j),(-0.11641115247021191-3.1658682989778576e-14j),(-0.009537501060533589-7.587697727204004e-15j),(0.1254303915222809+2.644526217127096e-14j),(-0.11193254879515897-7.650645450898664e-15j),(-0.01703143025154185-2.5700445291275283e-15j),(0.12831232965322062+1.7693797393962897e-14j),(-0.10629490054486608+1.6818003606867904e-15j),(-0.025850367082632997-2.2864594909790363e-14j),(0.13105619493625675+4.7979576049789507e-14j),(-0.09883629699151059-3.496470694491704e-14j),(-0.03638751443475966-6.5156090246976e-15j),(0.1315783181385593+2.3839056438490984e-14j),(-0.07945800337815162-2.0281789888771748e-14j),0.014723568219589991,0.014343145240095358,0.011298605881842972,0.0006682414783068756,0.01717572623117013,0.009768613602994084,0.0013240512067398428,0.017312853804171923,0.006313574300842354,1.1490218462876748e-05,0.015068439263844817,0.013551556419442926,9.096392647967933e-05,0.01573278311743267,0.012528895479780644,0.0002900696164131349,0.016464053941036758,0.0,-16.78065461651198
