metodo,psi2,tempo,z
Solucao Analitica,8.9925317837905e-35,0.00e+00,-346.93453834880313
Solucao Analitica,6.168994353115366e-35,0.00e+00,-346.51929653150955
Solucao Analitica,1.564818079814629e-34,0.00e+00,-346.104054714216
Solucao Analitica,7.791470430837828e-35,0.00e+00,-345.68881289692234
Solucao Analitica,1.5046327690525283e-36,0.00e+00,-345.2735710796287
Solucao Analitica,3.987276837989199e-35,0.00e+00,-344.85832926233513
Solucao Analitica,2.0291971231069738e-35,0.00e+00,-344.44308744504156
Solucao Analitica,2.294564972805105e-34,0.00e+00,-344.0278456277479
Solucao Analitica,7.9745536759784e-35,0.00e+00,-343.6126038104543
Solucao Analitica,1.3015073452304367e-34,0.00e+00,-343.19736199316077
Solucao Analitica,9.780112998841431e-36,0.00e+00,-342.78212017586714
Solucao Analitica,1.760420339791458e-34,0.00e+00,-342.36687835857356
Solucao Analitica,1.011865537187825e-34,0.00e+00,-341.9516365412799
Solucao Analitica,8.313096049015218e-35,0.00e+00,-341.53639472398635
Solucao Analitica,1.023150282955719e-34,0.00e+00,-341.1211529066927
Solucao Analitica,3.6863502841786936e-35,0.00e+00,-340.70591108939914
Solucao Analitica,1.100262712369661e-34,0.00e+00,-340.2906692721055
Solucao Analitica,1.023150282955719e-34,0.00e+00,-339.8754274548119
Solucao Analitica,6.770847460736376e-35,0.00e+00,-339.46018563751835
Solucao Analitica,3.18982147039136e-34,0.00e+00,-339.0449438202248
Solucao Analitica,3.18982147039136e-34,0.00e+00,-338.62970200293114
Solucao Analitica,2.0839163851377513e-34,0.00e+00,-338.21446018563756
Solucao Analitica,1.565758475295287e-35,0.00e+00,-337.79921836834393
Solucao Analitica,1.354169492147275e-35,0.00e+00,-337.3839765510503
Solucao Analitica,2.7835706227471764e-34,0.00e+00,-336.9687347337567
Solucao Analitica,8.506024059343926e-35,0.00e+00,-336.55349291646314
Solucao Analitica,7.29746892990476e-35,0.00e+00,-336.1382510991695
Solucao Analitica,3.0844971765576824e-35,0.00e+00,-335.7230092818759
Solucao Analitica,2.0782740122538046e-35,0.00e+00,-335.30776746458235
Solucao Analitica,2.174194351280903e-34,0.00e+00,-334.8925256472888
Solucao Analitica,7.523163845262641e-36,0.00e+00,-334.47728382999514
Solucao Analitica,1.1444612999605791e-34,0.00e+00,-334.0620420127015
Solucao Analitica,3.048762148292685e-34,0.00e+00,-333.64680019540793
Solucao Analitica,2.6030146904608735e-34,0.00e+00,-333.2315583781143
Solucao Analitica,1.88079096131566e-37,0.00e+00,-332.8163165608207
Solucao Analitica,1.354169492147275e-35,0.00e+00,-332.4010747435271
Solucao Analitica,6.018531076210113e-36,0.00e+00,-331.9858329262335
Solucao Analitica,9.968192094972998e-36,0.00e+00,-331.57059110893994
Solucao Analitica,7.170515540015953e-35,0.00e+00,-331.15534929164636
Solucao Analitica,2.1817175151261653e-35,0.00e+00,-330.7401074743527
Solucao Analitica,2.3509887016445753e-35,0.00e+00,-330.32486565705915
Solucao Analitica,2.938735877055719e-35,0.00e+00,-329.9096238397655
Solucao Analitica,1.0870971756404513e-34,0.00e+00,-329.4943820224719
Solucao Analitica,1.88079096131566e-35,0.00e+00,-329.0791402051783
Solucao Analitica,2.8708510782957317e-35,0.00e+00,-328.66389838788473
Solucao Analitica,2.8776101708129593e-35,0.00e+00,-328.2486565705911
Solucao Analitica,4.4809844653345594e-35,0.00e+00,-327.8334147532975
Solucao Analitica,7.645305055152768e-36,0.00e+00,-327.41817293600394
Solucao Analitica,1.8854929387189494e-35,0.00e+00,-327.00293111871036
Solucao Analitica,1.626884181538046e-35,0.00e+00,-326.58768930141673
Solucao Analitica,1.3102721249837554e-34,0.00e+00,-326.1724474841231
Solucao Analitica,1.004577472212727e-34,0.00e+00,-325.7572056668295
Solucao Analitica,2.0735720348505152e-35,0.00e+00,-325.34196384953594
Solucao Analitica,2.231676025036113e-35,0.00e+00,-324.9267220322423
Solucao Analitica,3.954362996166175e-35,0.00e+00,-324.5114802149487
Solucao Analitica,8.463559325920471e-35,0.00e+00,-324.09623839765516
Solucao Analitica,6.165467870062897e-36,0.00e+00,-323.6809965803615
Solucao Analitica,4.966463632224165e-36,0.00e+00,-323.26575476306795
Solucao Analitica,4.308186795763683e-35,0.00e+00,-322.8505129457743
Solucao Analitica,1.4017770133555779e-36,0.00e+00,-322.43527112848074
Solucao Analitica,1.6951877501605135e-34,0.00e+00,-322.0200293111871
Solucao Analitica,5.885994088154899e-35,0.00e+00,-321.6047874938935
