energy,d1i,d1r,d2i,d2r
0.16722408,6.23898656E-030,-5.20158575E-030,-5.84599383E-031,1.16472105E-030
0.15217391,-2.82159647E-028,1.1885224E-027,1.46753499E-029,2.12312383E-029
0.10702341,-1.35040439E-031,-5.39701184E-031,-7.9838226E-032,3.30520505E-031
0.17725753,1.01381484E-030,-4.0692133E-030,-4.03992487E-032,8.12541072E-032
0.14214047,1.79052377E-029,-9.16509025E-030,9.41399088E-032,-3.78055196E-032
0.1180602,5.5953531E-030,4.13942994E-030,-1.67594513E-030,-3.50380135E-030
0.12809365,1.33823722E-030,-2.42206743E-030,-5.78558368E-030,-5.74478559E-030
0.1632107,1.38404671E-029,-1.03308896E-029,2.74920437E-031,-2.45317087E-031
0.17324415,1.26671455E-031,-6.76407033E-030,6.01957249E-031,-3.20115619E-031
0.14816054,7.05036647E-029,-3.34683095E-029,4.84294283E-032,1.55143699E-031
0.13812709,8.12390588E-030,-2.42188946E-030,1.91707986E-031,1.82973211E-032
0.15819398,4.28249727E-029,-3.13525398E-029,-2.37887213E-031,-1.30652386E-031
0.10301003,-9.2191561E-031,-9.71324248E-031,6.77562282E-032,1.91587023E-032
0.13311037,1.97236973E-030,2.01180757E-030,3.89279203E-030,-1.93129832E-030
0.16822742,3.40035693E-030,-2.88338468E-030,-5.73965845E-031,-4.14558303E-031
0.12307692,6.34484743E-031,-1.0849798E-030,-2.52416715E-030,-5.65039679E-030
0.15317726,-1.17125711E-027,3.00875575E-028,-6.50864464E-030,-1.15058917E-030
0.11304348,1.83068467E-030,-1.3847451E-030,-5.50370191E-031,-1.84830898E-031
0.17826087,2.17435504E-030,-3.65441466E-030,4.98673882E-033,1.14408214E-032
0.10802676,-5.33905157E-031,-5.8285033E-031,-2.63822192E-031,1.03353457E-031
0.14314381,1.35056837E-029,-1.0656091E-029,2.11554644E-031,-2.18321526E-031
0.11906355,-1.55694784E-030,1.7529609E-030,-3.06074183E-030,-7.03804224E-031
0.12909699,1.57254937E-030,-1.71327585E-030,3.16352533E-031,2.39677759E-031
0.17424749,2.74069105E-030,-5.6078752E-030,5.90747696E-031,7.02440759E-031
0.16421405,3.54973654E-030,-6.74892108E-030,-8.22236067E-031,-8.5393496E-032
0.14916388,1.33540746E-028,-8.16742842E-029,8.76456609E-032,-6.26010865E-033
0.15919732,-2.51396405E-030,-1.70282738E-029,-2.13039071E-030,2.31795472E-030
0.13913043,3.79851791E-030,-5.33507849E-030,3.64697432E-031,1.34558333E-031
0.10401338,-1.05438606E-030,-5.04802296E-031,8.94241774E-032,6.3175333E-032
0.13411371,-3.23601447E-030,-5.68568062E-030,-1.52150929E-030,-2.21214981E-030
0.12408027,1.21071128E-030,-2.45044134E-030,4.86779621E-030,-4.56467169E-030
0.1541806,-6.34103939E-028,-6.03949927E-028,-3.42187549E-030,-2.7548853E-030
0.16923077,2.05614595E-030,-4.26533305E-030,-1.95072193E-031,-3.46583032E-031
0.11404682,4.00616739E-031,-1.46686369E-031,-4.68153994E-031,-1.72785695E-030
0.17926421,1.63752707E-030,-2.66755206E-030,-3.84949119E-032,1.13018992E-031
0.1090301,1.12377338E-030,-4.77725056E-031,-1.42110632E-031,1.90063118E-031
0.14414716,2.11546146E-029,-2.14826147E-029,-7.08978384E-034,1.24832966E-032
0.18026756,8.48233942E-031,-2.79494061E-030,-6.93162822E-032,5.35694791E-032
0.18528428,1.49489009E-030,-5.7405198E-030,-6.76250007E-032,-2.28940073E-032
0.190301,2.71818659E-031,-5.95657489E-031,1.12954119E-031,-2.43009162E-031
0.20033445,7.97893392E-031,-3.40839889E-031,2.3555461E-032,-4.00434585E-033
0.19531773,1.10266434E-030,-9.39028417E-031,1.66225694E-031,-1.52033343E-032
0.21036789,1.97020782E-031,-3.09599478E-031,-2.27702732E-032,1.46586622E-032
0.20535117,3.03113035E-031,-2.43826114E-031,5.90415724E-033,2.09386951E-032
0.21538462,2.52526196E-031,-3.94791426E-031,-3.58030735E-033,-3.84842112E-032
0.23043478,8.15343013E-032,-1.46206365E-031,1.30651487E-032,6.24292378E-032
0.23545151,1.27177518E-031,-1.91160359E-031,-1.2596847E-032,1.12932873E-032
0.22040134,3.87910545E-031,-3.09328301E-031,-3.29933238E-033,-1.03684504E-032
