energy,d1i,d1r,d2i,d2r
0.353846,2.215192e-29,5.770818e-29,2.038885e-31,7.398633e-32
0.355853,-2.621450e-29,3.294785e-29,4.445794e-31,-2.383479e-31
0.356856,1.049358e-29,-4.147439e-29,4.020235e-31,1.647903e-32
0.357860,2.821675e-29,4.659541e-29,1.757285e-31,6.521584e-32
0.358863,-4.452615e-30,4.924403e-29,7.079845e-32,-1.640937e-31
0.360870,-2.942523e-30,-3.686210e-29,3.270134e-31,-4.322578e-33
0.361873,3.319787e-29,3.378400e-29,1.560582e-31,5.795609e-32
0.362876,-9.048341e-30,5.077918e-29,4.633020e-32,-1.029216e-31
0.363880,-1.095330e-29,4.005638e-29,2.178144e-31,-1.778012e-31
0.365886,3.624516e-29,2.021066e-29,1.423625e-31,5.219754e-32
0.366890,-1.204751e-29,5.279360e-29,3.399482e-32,-6.459745e-32
0.367893,-4.905848e-30,4.008315e-29,1.551511e-31,-1.506092e-31
0.368896,-2.289398e-29,-2.017631e-29,2.312118e-31,-3.626042e-32
0.370903,-1.292562e-29,5.450416e-29,2.740825e-32,-3.925383e-32
0.371906,-8.746675e-31,3.876816e-29,1.106255e-31,-1.259446e-31
0.372910,-2.839445e-29,-1.003335e-29,1.954211e-31,-4.730757e-32
0.373913,3.465189e-29,-5.110298e-30,1.259565e-31,4.135899e-32
0.375920,8.511592e-31,3.691295e-29,7.865261e-32,-1.040626e-31
0.376923,-3.071963e-29,2.040160e-32,1.641706e-31,-5.483034e-32
0.377926,2.990987e-29,-1.499192e-29,1.205796e-31,3.510113e-32
0.378930,-7.980813e-30,5.404183e-29,2.243611e-32,-8.277175e-33
0.380936,-3.012086e-29,9.164425e-30,1.366544e-31,-5.889478e-32
0.381940,2.299623e-29,-2.211408e-29,1.157854e-31,2.802188e-32
0.382943,-2.822560e-30,5.082148e-29,2.260033e-32,2.094053e-33
0.383946,-1.982742e-30,3.425608e-29,3.906079e-32,-6.894284e-32
0.385953,1.456429e-29,-2.614908e-29,1.108939e-31,2.020698e-32
0.387960,-5.496332e-30,3.427520e-29,2.712570e-32,-5.548563e-32
0.388963,-2.248495e-29,2.252472e-29,9.184849e-32,-5.826223e-32
0.390970,9.465511e-30,3.786335e-29,2.710113e-32,1.700848e-32
0.392977,-1.703852e-29,2.628487e-29,7.426990e-32,-5.480069e-32
0.393980,-3.608203e-30,-2.515821e-29,9.906774e-32,3.578389e-33
0.395987,-1.295517e-29,3.710486e-29,1.216659e-32,-3.508543e-32
0.396990,-1.164487e-29,2.821875e-29,5.962670e-32,-5.014101e-32
0.397993,-1.170315e-29,-2.089163e-29,9.176592e-32,-4.334556e-33
0.398997,1.910656e-29,1.883519e-29,3.534132e-32,2.513026e-32

